Env,Run,Success,Reason,Reward,Height,Travelled Distance,Steps
fraser_gunnery_range,11,1.0,None,82.88949771225452,30.76251220703125,93.44497500740944,72
fraser_gunnery_range,12,1.0,None,93.44241114333272,29.6790828704834,73.33363962906255,80
fraser_gunnery_range,13,1.0,None,89.16626417636871,31.290224075317383,45.6009040391783,40
fraser_gunnery_range,14,1.0,None,99.57859132811427,28.39531135559082,70.79681937065934,62
hartley_mansion,0,1.0,None,99.44455768167973,20.334566116333008,50.06323427834778,60
hartley_mansion,1,1.0,None,85.61028660833836,24.150693893432617,38.45492108763488,30
hartley_mansion,2,1.0,None,101.73324885964394,24.489086151123047,42.79984275980482,65
hartley_mansion,3,1.0,None,103.35077752172947,25.41057777404785,41.120333424550864,61
hartley_mansion,4,0.0,Semantics,30.896530270576477,21.634777069091797,52.2178696488818,64
hartley_mansion,5,1.0,None,92.54732204973698,22.96818733215332,44.15835353563221,50
hartley_mansion,6,1.0,None,95.66233523190022,26.414152145385742,39.62499386533938,53
hartley_mansion,7,1.0,None,107.84935866296291,26.222057342529297,49.42148204222292,73
hartley_mansion,8,1.0,None,100.04882623255253,24.32600212097168,39.60298093204278,50
hartley_mansion,9,1.0,None,106.57310630381107,25.486177444458008,44.19882048116129,70
hartley_mansion,10,1.0,None,104.48555214703083,24.715017318725586,40.36048192114674,55
hartley_mansion,11,1.0,None,97.70656455680728,21.74885368347168,47.29336253887951,54
hartley_mansion,12,1.0,None,90.65051344037056,22.062557220458984,32.45870227438682,38
hartley_mansion,13,1.0,None,91.17047802358866,22.9615478515625,40.089969034264826,65
hartley_mansion,14,1.0,None,80.53453585878015,24.54134750366211,41.05731002213575,51
tin_hau_temple,0,1.0,None,82.66026470065117,29.25773048400879,29.150897839630783,41
tin_hau_temple,1,1.0,None,84.98392555862665,29.9659481048584,32.55645284315854,55
tin_hau_temple,2,1.0,None,86.23695507645607,28.877328872680664,30.831216276433963,41
tin_hau_temple,3,1.0,None,72.26220193877816,31.132022857666016,35.294225804079176,57
tin_hau_temple,4,1.0,None,88.38681554794312,31.51291275024414,33.422983488896506,48
tin_hau_temple,5,1.0,None,89.78841557726264,28.232975006103516,34.806474477010084,45
tin_hau_temple,6,1.0,None,68.29332942143083,29.249469757080078,37.185694592665854,73
tin_hau_temple,7,1.0,None,83.08834856003523,30.23638153076172,29.8699483766042,40
tin_hau_temple,8,1.0,None,85.13655015453696,30.105960845947266,33.6337004243241,46
tin_hau_temple,9,1.0,None,85.84107127040625,31.20844078063965,41.83203559560491,66
tin_hau_temple,10,1.0,None,73.94664167612791,31.48240089416504,42.157972320237576,80
tin_hau_temple,11,1.0,None,88.61091747879982,30.24032211303711,37.22841829498503,58
tin_hau_temple,12,1.0,None,87.15388653799891,31.068498611450195,38.53169216464413,67
tin_hau_temple,13,1.0,None,88.13798354566097,30.063922882080078,37.546805126215645,56
tin_hau_temple,14,1.0,None,88.4379494599998,30.21208381652832,43.21597190545123,75
xcell_aerial_hq,0,1.0,Boundaries,86.06412418559194,24.45224952697754,81.41990813247781,48
xcell_aerial_hq,1,1.0,Boundaries,90.0473262667656,24.248641967773438,57.890368101535714,67
xcell_aerial_hq,2,1.0,Boundaries,102.79635950550437,23.028038024902344,63.67978336511204,90
xcell_aerial_hq,3,1.0,Boundaries,99.31347171217203,23.45823097229004,42.23300223814623,60
xcell_aerial_hq,4,1.0,Boundaries,103.37931126356125,24.155927658081055,40.59387763269679,56
xcell_aerial_hq,5,1.0,Boundaries,106.11126594245434,21.758298873901367,44.432940081548594,61
xcell_aerial_hq,6,1.0,Boundaries,97.7584086433053,23.933053970336914,45.432108636242006,76
xcell_aerial_hq,7,1.0,Boundaries,96.86081290245056,21.049463272094727,33.11681093236757,38
xcell_aerial_hq,8,1.0,Boundaries,87.89935159683228,24.33797836303711,36.85468042098364,42
xcell_aerial_hq,9,1.0,Boundaries,91.89154495298862,24.43914031982422,43.03130760058124,61
xcell_aerial_hq,10,1.0,Boundaries,91.32571594044566,21.15581512451172,40.33468840883013,63
xcell_aerial_hq,11,1.0,Boundaries,95.10806657746434,22.822891235351562,57.289476022510385,51
