n_updates,policy_loss,policy_entropy,ep_reward_mean,fps,approxkl,explained_variance,clipfrac,time_elapsed,value_loss,total_timesteps,serial_timesteps,ep_len_mean
107,0.00039208715,1.1868678,66.9848257387057,48,0.017549746,0.8481302708387375,0.19828126,20457.754174232483,55.061234,856000,214000,80.67
108,-0.0024107445,1.029652,75.52338937755674,38,0.01504159,0.8767374977469444,0.16359377,20623.578364133835,45.202763,864000,216000,62.35
109,-0.0014072111,1.1325139,67.0527295986563,41,0.012386657,0.8820648714900017,0.14500001,20830.402638435364,46.643158,872000,218000,78.06
110,-0.0026160963,1.0693442,67.81850882414729,41,0.00952644,0.8551996052265167,0.119718745,21021.120869398117,51.220165,880000,220000,73.06
111,0.0017781416,0.87602395,74.00009854875505,44,0.020840803,0.9108477383852005,0.19731253,21215.76828455925,23.681625,888000,222000,63.63
112,-0.0052558007,0.8180466,83.41222195174545,42,0.012260023,0.9181812182068825,0.14065623,21395.769087076187,24.16858,896000,224000,66.41
113,0.00034169425,0.7552357,96.39949162200094,39,0.008832457,0.9251019954681396,0.102812506,21585.140442609787,23.26007,904000,226000,59.94
114,-0.0008649995,1.018568,72.4068377109617,44,0.010799252,0.8887899443507195,0.12712501,21789.28292632103,38.4125,912000,228000,70.56
115,-0.002021461,0.86827797,71.74777662243694,47,0.011766565,0.8852034509181976,0.122281246,21969.8539955616,42.057533,920000,230000,65.15
116,0.004331687,0.7732266,91.99858419157565,39,0.020542646,0.8945464864373207,0.19618751,22139.616291046143,22.570393,928000,232000,65.57
117,-0.0018530304,0.9117424,74.58784269545227,41,0.0097581195,0.9170738533139229,0.11503126,22343.099141597748,25.437826,936000,234000,72.9
118,0.00089176244,0.82243985,69.93112863261253,38,0.008180184,0.849257305264473,0.08634375,22535.949499845505,48.061523,944000,236000,61.48
119,-0.008836851,0.8126815,76.22744137831032,44,0.010238219,0.8570588976144791,0.12740625,22742.701687335968,34.199234,952000,238000,72.97
120,0.00035876286,0.90212786,71.01366391751915,39,0.017050736,0.8585165292024612,0.1739375,22924.028040647507,41.61233,960000,240000,60.75
121,0.0017121773,0.82575315,76.58986036770045,39,0.019796446,0.867927223443985,0.19584371,23129.108043909073,38.067257,968000,242000,61.22
122,-0.00059392885,0.757811,76.3927178331092,41,0.022815827,0.8442785143852234,0.18693745,23332.401324510574,41.062263,976000,244000,61.41
123,0.0004734562,0.9357192,72.28114374447614,44,0.019845486,0.8976885676383972,0.184625,23523.4675924778,34.975994,984000,246000,78.09
124,0.0023277747,0.9822995,70.49226805027574,45,0.015725186,0.9159356132149696,0.16062503,23701.517113924026,35.279423,992000,248000,88.63
125,0.0069663026,0.8505141,80.897427601479,41,0.03253179,0.8943067491054535,0.25875005,23877.507602214813,25.33923,1000000,250000,70.48
126,0.0021888525,0.9264816,79.1014676631242,39,0.025812028,0.8874673172831535,0.24253123,24072.136652708054,40.137848,1008000,252000,67.79
127,0.0005423544,0.91624814,74.41948251068592,41,0.017089618,0.9163995087146759,0.1819063,24276.82594895363,27.648182,1016000,254000,70.77
128,-0.0043183854,0.8505215,72.45783811241388,44,0.012167945,0.9075318574905396,0.1335625,24468.686205863953,28.622396,1024000,256000,61.43
129,0.0006698796,0.87527615,73.37721090588718,40,0.01785793,0.9016133025288582,0.16546872,24648.780148983,33.44088,1032000,258000,72.09
